Product,Colour,Picture,Care Instructions
Regular-fit suit in patterned virgin-wool serge,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50444038_078_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444038_078_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Micro-patterned slim-fit jacket in stretch jersey,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50450562_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450562_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450562_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450562_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450562_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50450562_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit suit in plain-check virgin wool,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50453677_402_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_600?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_341?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_342?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_343?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50453677_402_170?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit casual chinos in brushed stretch cotton,"Light Blue, Light Blue, Turquoise, Blue, Dark Blue, Dark Blue, Dark Blue, Dark Green, Dark Green, Dark Green, Brown, White, Beige, Beige, Brown, Beige, Brown, Light Grey, Light Grey, Grey, Dark Grey, Black, Red, Light Blue","https://images.hugoboss.com/is/image/boss/hbeu50379152_489_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_489_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_489_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_489_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_489_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50379152_489_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Cotton-blend knitted sweater with logo patch,"Light Blue, Khaki, Light Beige","https://images.hugoboss.com/is/image/boss/hbeu50447078_489_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447078_489_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447078_489_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50447078_489_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit trousers with drawstring waist and zipped pockets,Black,"https://images.hugoboss.com/is/image/boss/hbeu50444546_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444546_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444546_001_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444546_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444546_001_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50444546_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","Do Not Wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Chemical dry cleaning P"
Regular-fit tracksuit bottoms in French terry with recycled trims,Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50443197_061_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443197_061_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443197_061_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443197_061_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443197_061_240?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50443197_061_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Do not chemical dry clean"
Zip-neck sweater in organic cotton with intarsia detailing,"Dark Blue, Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50446984_410_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446984_410_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446984_410_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446984_410_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","30°C mild fine wash, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Regular-fit sweater in two-tone knitted cotton,"Black, Blue Patterned","https://images.hugoboss.com/is/image/boss/hbeu50446571_001_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446571_001_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446571_001_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50446571_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Low Heat, Gentle chemical dry cleaning P"
Slim-fit sweater in cotton with rolled-edge collar,"Light Beige, Blue, Dark Blue, Dark Green","https://images.hugoboss.com/is/image/boss/hbeu50452448_272_350?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_272_300?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_272_360?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_272_340?$large$=&fit=crop,1&align=1,1, https://images.hugoboss.com/is/image/boss/hbeu50452448_272_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05","careinstructioncode.S30R, Do Not Bleach, Do Not Tumble Dry, Iron Medium Heat, Chemical dry cleaning P"
