Movie Name,Duration,Genre
The Shawshank Redemption,2h 22min,Drama
Schindler's List,3h 15min,"Biography, Drama, History"
12 Angry Men,1h 36min,"Crime, Drama"
Fight Club,2h 19min,Drama
The Godfather: Part II,3h 22min,"Crime, Drama"
The Dark Knight,2h 32min,"Action, Crime, Drama"
The Godfather,2h 55min,"Crime, Drama"
The Lord of the Rings: The Return of the King,3h 21min,"Action, Adventure, Drama"
The Lord of the Rings: The Fellowship of the Ring,2h 58min,"Action, Adventure, Drama"
"The Good, the Bad and the Ugly",2h 58min,Western
The Lord of the Rings: The Two Towers,2h 59min,"Action, Adventure, Drama"
One Flew Over the Cuckoo's Nest,2h 13min,Drama
Pulp Fiction,2h 34min,"Crime, Drama"
Forrest Gump,2h 22min,"Drama, Romance"
Inception,2h 28min,"Action, Adventure, Sci-Fi"
Goodfellas,2h 26min,"Biography, Crime, Drama"
Miracle in Cell No. 7,2h 12min,Drama
Neon Genesis Evangelion: The End of Evangelion,1h 27min,"Animation, Action, Drama"
Sunrise,1h 34min,"Drama, Romance"
Three Colors: Red,1h 39min,"Drama, Mystery, Romance"
Fanny and Alexander,3h 8min,Drama
Drishyam,2h 40min,"Crime, Drama, Thriller"
The Princess Bride,1h 38min,"Adventure, Family, Fantasy"
Soul,1h 40min,"Animation, Adventure, Comedy"
Rififi,1h 58min,"Crime, Drama, Thriller"
It Happened One Night,1h 45min,"Comedy, Romance"
Before Sunset,1h 20min,"Drama, Romance"
A Silent Voice: The Movie,2h 10min,"Animation, Drama, Romance"
The Battle of Algiers,2h 1min,"Drama, War"
Nausicaä of the Valley of the Wind,1h 57min,"Animation, Adventure, Fantasy"
In the Mood for Love,1h 38min,"Drama, Romance"
Drishyam 2,2h 32min,"Crime, Drama, Thriller"
Raatchasan,2h 50min,"Action, Crime, Thriller"
Rocky,2h,"Drama, Sport"
Rebecca,2h 10min,"Drama, Mystery, Romance"
Andrei Rublev,3h 25min,"Biography, Drama, History"
Amores Perros,2h 34min,"Drama, Thriller"
Into the Wild,2h 28min,"Adventure, Biography, Drama"
Rush,2h 3min,"Action, Biography, Drama"
"Monsters, Inc.",1h 32min,"Animation, Adventure, Comedy"
La Haine,1h 38min,"Crime, Drama"
Gangs of Wasseypur,5h 21min,"Action, Comedy, Crime"
Monty Python's Life of Brian,1h 34min,Comedy
Spotlight,2h 9min,"Biography, Crime, Drama"
Platoon,2h,"Drama, War"
Hachi: A Dog's Tale,1h 33min,"Biography, Drama, Family"
Logan,2h 17min,"Action, Drama, Sci-Fi"
The Handmaiden,2h 25min,"Drama, Romance, Thriller"
The 400 Blows,1h 39min,"Crime, Drama"
Cool Hand Luke,2h 7min,"Crime, Drama"
Autumn Sonata,1h 39min,"Drama, Music"
Hotel Rwanda,2h 1min,"Biography, Drama, History"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,"Adventure, Drama, Fantasy"
Stand by Me,1h 29min,"Adventure, Drama"
Dead Poets Society,2h 8min,"Comedy, Drama"
The Wages of Fear,2h 11min,"Adventure, Drama, Thriller"
Network,2h 1min,Drama
Million Dollar Baby,2h 12min,"Drama, Sport"
The Bandit,2h 8min,"Crime, Drama, Thriller"
Mad Max: Fury Road,2h,"Action, Adventure, Sci-Fi"
Ben-Hur,3h 32min,"Adventure, Drama, History"
The Passion of Joan of Arc,1h 54min,"Biography, Drama, History"
How to Train Your Dragon,1h 38min,"Animation, Action, Adventure"
12 Years a Slave,2h 14min,"Biography, Drama, History"
Ford v Ferrari,2h 32min,"Action, Biography, Drama"
Barry Lyndon,3h 5min,"Adventure, Drama, History"
Catch Me If You Can,2h 21min,"Biography, Crime, Drama"
The Big Lebowski,1h 57min,"Comedy, Crime, Sport"
Andhadhun,2h 19min,"Crime, Drama, Music"
Hacksaw Ridge,2h 19min,"Biography, Drama, History"
To Be or Not to Be,1h 39min,"Comedy, Romance, War"
Gone Girl,2h 29min,"Drama, Mystery, Thriller"
Mr. Smith Goes to Washington,2h 9min,"Comedy, Drama"
In the Name of the Father,2h 13min,"Biography, Crime, Drama"
Prisoners,2h 33min,"Crime, Drama, Mystery"
Mary and Max,1h 32min,"Animation, Comedy, Drama"
Persona,1h 23min,"Drama, Thriller"
Before Sunrise,1h 41min,"Drama, Romance"
Sherlock Jr.,45min,"Action, Comedy, Romance"
The Grand Budapest Hotel,1h 39min,"Adventure, Comedy, Crime"
Room,1h 58min,"Drama, Thriller"
Gran Torino,1h 56min,Drama
The General,1h 7min,"Action, Adventure, Comedy"
Wild Tales,2h 2min,"Comedy, Drama, Thriller"
Stalker,2h 42min,"Drama, Sci-Fi"
On the Waterfront,1h 48min,"Crime, Drama, Thriller"
Tokyo Story,2h 16min,Drama
Gone with the Wind,3h 58min,"Drama, History, Romance"
Memories of Murder,2h 12min,"Crime, Drama, Mystery"
Fargo,1h 38min,"Crime, Drama, Thriller"
Warrior,2h 20min,"Action, Drama, Sport"
The Deer Hunter,3h 3min,"Drama, War"
Finding Nemo,1h 40min,"Animation, Adventure, Comedy"
Jurassic Park,2h 7min,"Action, Adventure, Sci-Fi"
Kill Bill: Vol. 1,1h 51min,"Action, Crime, Drama"
The Truman Show,1h 43min,"Comedy, Drama"
My Father and My Son,1h 52min,"Drama, Family"
Blade Runner,1h 57min,"Action, Sci-Fi, Thriller"
The Bridge on the River Kwai,2h 41min,"Adventure, Drama, War"
Trainspotting,1h 33min,Drama
The Third Man,1h 33min,"Film-Noir, Mystery, Thriller"
Inside Out,1h 35min,"Animation, Adventure, Comedy"
V for Vendetta,2h 12min,"Action, Drama, Sci-Fi"
The Sixth Sense,1h 47min,"Drama, Mystery, Thriller"
The Thing,1h 49min,"Horror, Mystery, Sci-Fi"
Wild Strawberries,1h 31min,"Drama, Romance"
The Seventh Seal,1h 36min,"Drama, Fantasy, History"
The Elephant Man,2h 4min,"Biography, Drama"
Klaus,1h 36min,"Animation, Adventure, Comedy"
No Country for Old Men,2h 2min,"Crime, Drama, Thriller"
Shutter Island,2h 18min,"Mystery, Thriller"
Dial M for Murder,1h 45min,"Crime, Thriller"
"Lock, Stock and Two Smoking Barrels",1h 47min,"Action, Comedy, Crime"
"Three Billboards Outside Ebbing, Missouri",1h 55min,"Comedy, Crime, Drama"
My Neighbor Totoro,1h 26min,"Animation, Family, Fantasy"
The Gold Rush,1h 35min,"Adventure, Comedy, Drama"
Chinatown,2h 10min,"Drama, Mystery, Thriller"
A Beautiful Mind,2h 15min,"Biography, Drama"
Raging Bull,2h 9min,"Biography, Drama, Sport"
There Will Be Blood,2h 38min,Drama
Casino,2h 58min,"Crime, Drama"
The Treasure of the Sierra Madre,2h 6min,"Adventure, Drama, Western"
Pan's Labyrinth,1h 58min,"Drama, Fantasy, War"
The Secret in Their Eyes,2h 9min,"Drama, Mystery, Romance"
Judgment at Nuremberg,2h 59min,"Drama, War"
The Great Escape,2h 52min,"Adventure, Drama, History"
The Wolf of Wall Street,3h,"Biography, Crime, Drama"
Howl's Moving Castle,1h 59min,"Animation, Adventure, Family"
Children of Heaven,1h 29min,"Drama, Family, Sport"
All About Eve,2h 18min,Drama
Some Like It Hot,2h 1min,"Comedy, Music, Romance"
Batman Begins,2h 20min,"Action, Adventure"
Unforgiven,2h 10min,"Drama, Western"
Ran,2h 42min,"Action, Drama, War"
Downfall,2h 36min,"Biography, Drama, History"
Monty Python and the Holy Grail,1h 31min,"Adventure, Comedy, Fantasy"
Green Book,2h 10min,"Biography, Comedy, Drama"
Die Hard,2h 12min,"Action, Thriller"
Yojimbo,1h 50min,"Action, Drama, Thriller"
Rashomon,1h 28min,"Crime, Drama, Mystery"
Indiana Jones and the Last Crusade,2h 7min,"Action, Adventure"
L.A. Confidential,2h 18min,"Crime, Drama, Mystery"
For a Few Dollars More,2h 12min,Western
Heat,2h 50min,"Crime, Drama, Thriller"
Up,1h 36min,"Animation, Adventure, Comedy"
To Kill a Mockingbird,2h 9min,"Crime, Drama"
Scarface,2h 50min,"Crime, Drama"
Incendies,2h 11min,"Drama, Mystery, War"
Snatch,1h 42min,"Comedy, Crime"
Toy Story 3,1h 43min,"Animation, Adventure, Comedy"
A Separation,2h 3min,Drama
Amélie,2h 2min,"Comedy, Romance"
The Apartment,2h 5min,"Comedy, Drama, Romance"
Double Indemnity,1h 47min,"Crime, Drama, Film-Noir"
A Clockwork Orange,2h 16min,"Crime, Drama, Sci-Fi"
The Sting,2h 9min,"Comedy, Crime, Drama"
Metropolis,2h 33min,"Drama, Sci-Fi"
Taxi Driver,1h 54min,"Crime, Drama"
Dangal,2h 41min,"Action, Biography, Drama"
Full Metal Jacket,1h 56min,"Drama, War"
The Father,1h 37min,Drama
Ikiru,2h 23min,Drama
The Kid,1h 8min,"Comedy, Drama, Family"
Lawrence of Arabia,3h 48min,"Adventure, Biography, Drama"
Bicycle Thieves,1h 29min,Drama
1917,1h 59min,"Drama, Thriller, War"
North by Northwest,2h 16min,"Adventure, Mystery, Thriller"
Eternal Sunshine of the Spotless Mind,1h 48min,"Drama, Romance, Sci-Fi"
Come and See,2h 22min,"Drama, Thriller, War"
Singin' in the Rain,1h 43min,"Comedy, Musical, Romance"
The Hunt,1h 55min,Drama
Requiem for a Dream,1h 42min,Drama
M,1h 39min,"Crime, Mystery, Thriller"
Vertigo,2h 8min,"Mystery, Romance, Thriller"
Like Stars on Earth,2h 45min,"Drama, Family"
Reservoir Dogs,1h 39min,"Crime, Drama, Thriller"
2001: A Space Odyssey,2h 29min,"Adventure, Sci-Fi"
Star Wars: Episode VI - Return of the Jedi,2h 11min,"Action, Adventure, Fantasy"
Good Will Hunting,2h 6min,"Drama, Romance"
3 Idiots,2h 50min,"Comedy, Drama"
Amadeus,2h 40min,"Biography, Drama, History"
Inglourious Basterds,2h 33min,"Adventure, Drama, War"
Citizen Kane,1h 59min,"Drama, Mystery"
Braveheart,2h 58min,"Biography, Drama, History"
Toy Story,1h 21min,"Animation, Adventure, Comedy"
American Beauty,2h 2min,Drama
High and Low,2h 23min,"Crime, Drama, Mystery"
Capernaum,2h 6min,Drama
Das Boot,2h 29min,"Adventure, Drama, Thriller"
Pather Panchali,2h 5min,Drama
Coco,1h 45min,"Animation, Adventure, Drama"
Your Name.,1h 46min,"Animation, Drama, Fantasy"
Aliens,2h 17min,"Action, Adventure, Sci-Fi"
The Dark Knight Rises,2h 44min,"Action, Adventure"
Hamilton,2h 40min,"Biography, Drama, History"
Avengers: Endgame,3h 1min,"Action, Adventure, Drama"
Oldboy,2h,"Action, Drama, Mystery"
Once Upon a Time in America,3h 49min,"Crime, Drama"
Princess Mononoke,2h 14min,"Animation, Action, Adventure"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35min,Comedy
Witness for the Prosecution,1h 56min,"Crime, Drama, Mystery"
Spider-Man: Into the Spider-Verse,1h 57min,"Animation, Action, Adventure"
Joker,2h 2min,"Crime, Drama, Thriller"
The Shining,2h 26min,"Drama, Horror"
Sunset Blvd.,1h 50min,"Drama, Film-Noir"
Paths of Glory,1h 28min,"Drama, War"
The Lives of Others,2h 17min,"Drama, Mystery, Thriller"
The Great Dictator,2h 5min,"Comedy, Drama, War"
Django Unchained,2h 45min,"Drama, Western"
WALL·E,1h 38min,"Animation, Adventure, Family"
Avengers: Infinity War,2h 29min,"Action, Adventure, Sci-Fi"
Indiana Jones and the Raiders of the Lost Ark,1h 55min,"Action, Adventure"
Memento,1h 53min,"Mystery, Thriller"
Cinema Paradiso,2h 35min,"Drama, Romance"
Once Upon a Time in the West,2h 45min,Western
Rear Window,1h 52min,"Mystery, Thriller"
Casablanca,1h 42min,"Drama, Romance, War"
Apocalypse Now,2h 27min,"Drama, Mystery, War"
The Intouchables,1h 52min,"Biography, Comedy, Drama"
Alien,1h 57min,"Horror, Sci-Fi"
The Prestige,2h 10min,"Drama, Mystery, Sci-Fi"
Grave of the Fireflies,1h 29min,"Animation, Drama, War"
City Lights,1h 27min,"Comedy, Drama, Romance"
Whiplash,1h 46min,"Drama, Music"
American History X,1h 59min,Drama
The Departed,2h 31min,"Crime, Drama, Thriller"
Gladiator,2h 35min,"Action, Adventure, Drama"
Modern Times,1h 27min,"Comedy, Drama, Family"
The Lion King,1h 28min,"Animation, Adventure, Drama"
Psycho,1h 49min,"Horror, Mystery, Thriller"
Terminator 2: Judgment Day,2h 17min,"Action, Sci-Fi"
The Pianist,2h 30min,"Biography, Drama, Music"
Back to the Future,1h 56min,"Adventure, Comedy, Sci-Fi"
The Usual Suspects,1h 46min,"Crime, Mystery, Thriller"
Hara-Kiri,2h 13min,"Action, Drama, Mystery"
The Green Mile,3h 9min,"Crime, Drama, Fantasy"
Léon: The Professional,1h 50min,"Action, Crime, Drama"
Spirited Away,2h 5min,"Animation, Adventure, Family"
Parasite,2h 12min,"Comedy, Drama, Thriller"
Interstellar,2h 49min,"Adventure, Drama, Sci-Fi"
Saving Private Ryan,2h 49min,"Drama, War"
Life Is Beautiful,1h 56min,"Comedy, Drama, Romance"
Star Wars: Episode IV - A New Hope,2h 1min,"Action, Adventure, Fantasy"
City of God,2h 10min,"Crime, Drama"
The Silence of the Lambs,1h 58min,"Crime, Drama, Thriller"
Se7en,2h 7min,"Crime, Drama, Mystery"
Seven Samurai,3h 27min,"Action, Adventure, Drama"
The Matrix,2h 16min,"Action, Sci-Fi"
It's a Wonderful Life,2h 10min,"Drama, Family, Fantasy"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,"Action, Adventure, Fantasy"
