Movie Name,Duration,Genre,Director Name,Top For Movies
The Shawshank Redemption,2h 22min,Drama,Frank Darabont,"The Green Mile, The Walking Dead, The Mist, The Shawshank Redemption"
12 Angry Men,1h 36min,"Crime, Drama",Sidney Lumet,"Before the Devil Knows You're Dead, 12 Angry Men, Dog Day Afternoon, Murder on the Orient Express"
Inception,2h 28min,"Action, Adventure, Sci-Fi",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
The Godfather: Part II,3h 22min,"Crime, Drama",Francis Ford Coppola,"Apocalypse Now, The Conversation, The Godfather: Part II, The Godfather"
The Godfather,2h 55min,"Crime, Drama",Francis Ford Coppola,"Apocalypse Now, The Conversation, The Godfather: Part II, The Godfather"
Fight Club,2h 19min,Drama,David Fincher,"Se7en, Zodiac, Gone Girl, The Social Network"
Forrest Gump,2h 22min,"Drama, Romance",Robert Zemeckis,"Back to the Future, Forrest Gump, Contact, Flight"
Persona,1h 23min,"Drama, Thriller",Ingmar Bergman,"Persona, Wild Strawberries, The Seventh Seal, Cries & Whispers"
The Lord of the Rings: The Two Towers,2h 59min,"Action, Adventure, Drama",Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring, Bad Taste, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers"
The Lord of the Rings: The Fellowship of the Ring,2h 58min,"Action, Adventure, Drama",Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring, Bad Taste, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,"Action, Adventure, Fantasy",Irvin Kershner,"Star Wars: Episode V - The Empire Strikes Back, Never Say Never Again, RoboCop 2, On Deadly Ground"
Seven Samurai,3h 27min,"Action, Adventure, Drama",Akira Kurosawa,"The Hidden Fortress, Ran, Kagemusha, Seven Samurai"
Gone Girl,2h 29min,"Drama, Mystery, Thriller",David Fincher,"Se7en, Zodiac, Gone Girl, The Social Network"
Ford v Ferrari,2h 32min,"Action, Biography, Drama",James Mangold,"Logan, Ford v Ferrari, Walk the Line, Heavy"
Stand by Me,1h 29min,"Adventure, Drama",Rob Reiner,"All in the Family, This Is Spinal Tap, The Wolf of Wall Street, The Story of Us"
Miracle in Cell No. 7,2h 12min,Drama,Mehmet Ada Öztekin,"Miracle in Cell No. 7, Losers' Club, Mahmut & Meryem, Tek Yürek"
The Lord of the Rings: The Return of the King,3h 21min,"Action, Adventure, Drama",Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring, Bad Taste, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers"
Sunrise,1h 34min,"Drama, Romance",F.W. Murnau,"Sunrise, Nosferatu, Tabu: A Story of the South Seas, The Burning Soil"
Neon Genesis Evangelion: The End of Evangelion,1h 27min,"Animation, Action, Drama",Hideaki Anno,"Shin Godzilla, The Wind Rises, Evangelion: 1.0 You Are (Not) Alone, Neon Genesis Evangelion: The End of Evangelion"
Drishyam,2h 40min,"Crime, Drama, Thriller",Jeethu Joseph,"Drishyam, Drishyam 2, Drishyam, Papanasam"
Three Colors: Red,1h 39min,"Drama, Mystery, Romance",Krzysztof Kieslowski,"Three Colors: Blue, The Double Life of Véronique, Three Colors: Red, Three Colors: White"
Fanny and Alexander,3h 8min,Drama,Ingmar Bergman,"Persona, Wild Strawberries, The Seventh Seal, Cries & Whispers"
The Princess Bride,1h 38min,"Adventure, Family, Fantasy",Rob Reiner,"All in the Family, This Is Spinal Tap, The Wolf of Wall Street, The Story of Us"
Soul,1h 40min,"Animation, Adventure, Comedy",Pete Docter,"Up, Inside Out, Soul, Monsters, Inc."
Rififi,1h 58min,"Crime, Drama, Thriller",Jules Dassin,"Rififi, Never on Sunday, Phaedra, The Law"
The Battle of Algiers,2h 1min,"Drama, War",Gillo Pontecorvo,"The Battle of Algiers, Ogro, Kapo, Burn!"
Before Sunset,1h 20min,"Drama, Romance",Richard Linklater,"Waking Life, Before Midnight, Boyhood, A Scanner Darkly"
Nausicaä of the Valley of the Wind,1h 57min,"Animation, Adventure, Fantasy",Hayao Miyazaki,"Spirited Away, My Neighbor Totoro, Howl's Moving Castle, Princess Mononoke"
It Happened One Night,1h 45min,"Comedy, Romance",Frank Capra,"It's a Wonderful Life, It Happened One Night, Mr. Smith Goes to Washington, Mr. Deeds Goes to Town"
A Silent Voice: The Movie,2h 10min,"Animation, Drama, Romance",Naoko Yamada,"A Silent Voice: The Movie, K-On!, Liz and the Blue Bird, Kyoukai no kanata"
Raatchasan,2h 50min,"Action, Crime, Thriller",Ram Kumar,"Raatchasan, Mundasupatti, Rakshasudu, Vaal Natchathiram'"
In the Mood for Love,1h 38min,"Drama, Romance",Kar-Wai Wong,"The Grandmaster, 2046, In the Mood for Love, Chungking Express"
Drishyam 2,2h 32min,"Crime, Drama, Thriller",Jeethu Joseph,"Drishyam, Drishyam 2, Drishyam, Papanasam"
Amores Perros,2h 34min,"Drama, Thriller",Alejandro G. Iñárritu,"The Revenant, Biutiful, Babel, Birdman or (The Unexpected Virtue of Ignorance)"
Gangs of Wasseypur,5h 21min,"Action, Comedy, Crime",Anurag Kashyap,"Gangs of Wasseypur, Udaan, Queen, Dev.D"
Rocky,2h,"Drama, Sport",John G. Avildsen,"Rocky, The Karate Kid Part III, Rocky V, The Karate Kid"
"Monsters, Inc.",1h 32min,"Animation, Adventure, Comedy",Pete Docter,"Up, Inside Out, Soul, Monsters, Inc."
"The Good, the Bad and the Ugly",2h 58min,Western,Sergio Leone,"Once Upon a Time in America, Duck You Sucker, The Good, the Bad and the Ugly, A Fistful of Dollars"
Andrei Rublev,3h 25min,"Biography, Drama, History",Andrei Tarkovsky,"Solaris, The Sacrifice, Andrei Rublev, Stalker"
The Dark Knight,2h 32min,"Action, Crime, Drama",Christopher Nolan,"The Prestige, Inception, Dunkirk, Tenet"
Hotel Rwanda,2h 1min,"Biography, Drama, History",Terry George,"Hotel Rwanda, In the Name of the Father, Some Mother's Son, The Promise"
Pulp Fiction,2h 34min,"Crime, Drama",Quentin Tarantino,"Reservoir Dogs, Pulp Fiction, From Dusk Till Dawn, Death Proof"
Spotlight,2h 9min,"Biography, Crime, Drama",Tom McCarthy,"The Station Agent, Win Win, The Visitor, Spotlight"
La Haine,1h 38min,"Crime, Drama",Mathieu Kassovitz,"Amélie, La Haine, The Fifth Element, The Crimson Rivers"
The Bandit,2h 8min,"Crime, Drama, Thriller",Yavuz Turgul,"The Bandit, Hunting Season, Mr. Muhsin, The Shadow Play"
Into the Wild,2h 28min,"Adventure, Biography, Drama",Sean Penn,"Mystic River, 21 Grams, Milk, Dead Man Walking"
Hachi: A Dog's Tale,1h 33min,"Biography, Drama, Family",Lasse Hallström,"What's Eating Gilbert Grape, Dear John, Chocolat, The Hundred-Foot Journey"
Logan,2h 17min,"Action, Drama, Sci-Fi",James Mangold,"Logan, Ford v Ferrari, Walk the Line, Heavy"
Rebecca,2h 10min,"Drama, Mystery, Romance",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
Platoon,2h,"Drama, War",Oliver Stone,"JFK, Natural Born Killers, Platoon, Born on the Fourth of July"
The 400 Blows,1h 39min,"Crime, Drama",François Truffaut,"Day for Night, Close Encounters of the Third Kind, The 400 Blows, Jules and Jim"
The Handmaiden,2h 25min,"Drama, Romance, Thriller",Park Chan-Wook,"The Handmaiden, Thirst, Oldboy, Lady Vengeance"
Cool Hand Luke,2h 7min,"Crime, Drama",Stuart Rosenberg,"Cool Hand Luke, Question 7, The Defenders, The Amityville Horror"
Monty Python's Life of Brian,1h 34min,Comedy,Terry Jones,"Monty Python and the Holy Grail, The Meaning of Life, Monty Python's Life of Brian, Mr. Toad's Wild Ride"
Schindler's List,3h 15min,"Biography, Drama, History",Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Saving Private Ryan, Indiana Jones and the Raiders of the Lost Ark"
Autumn Sonata,1h 39min,"Drama, Music",Ingmar Bergman,"Persona, Wild Strawberries, The Seventh Seal, Cries & Whispers"
Network,2h 1min,Drama,Sidney Lumet,"Before the Devil Knows You're Dead, 12 Angry Men, Dog Day Afternoon, Murder on the Orient Express"
Dead Poets Society,2h 8min,"Comedy, Drama",Peter Weir,"Master and Commander: The Far Side of the World, The Way Back, Witness, Dead Poets Society"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,"Adventure, Drama, Fantasy",David Yates,"Harry Potter and the Deathly Hallows: Part 2, Harry Potter and the Order of the Phoenix, The Legend of Tarzan, Harry Potter and the Deathly Hallows: Part 1"
The Wages of Fear,2h 11min,"Adventure, Drama, Thriller",Henri-Georges Clouzot,"The Wages of Fear, Diabolique, Quai des Orfèvres, Manon"
Ben-Hur,3h 32min,"Adventure, Drama, History",William Wyler,"The Best Years of Our Lives, Ben-Hur, Roman Holiday, The Big Country"
Mad Max: Fury Road,2h,"Action, Adventure, Sci-Fi",George Miller,"Mad Max: Fury Road, Mad Max 2: The Road Warrior, Mad Max, Happy Feet"
How to Train Your Dragon,1h 38min,"Animation, Action, Adventure",Dean DeBlois,"How to Train Your Dragon, How to Train Your Dragon 2, Lilo & Stitch, How to Train Your Dragon: The Hidden World"
The Passion of Joan of Arc,1h 54min,"Biography, Drama, History",Carl Theodor Dreyer,"The Passion of Joan of Arc, Gertrud, Ordet, Landsbykirken"
Million Dollar Baby,2h 12min,"Drama, Sport",Clint Eastwood,"Million Dollar Baby, Gran Torino, Unforgiven, The Bridges of Madison County"
Andhadhun,2h 19min,"Crime, Drama, Music",Sriram Raghavan,"Andhadhun, Badlapur, Johnny Gaddaar, Ek Hasina Thi"
12 Years a Slave,2h 14min,"Biography, Drama, History",Steve McQueen,"12 Years a Slave, Shame, Hunger, Widows"
The Big Lebowski,1h 57min,"Comedy, Crime, Sport",Joel Coen,"The Ballad of Buster Scruggs, Fargo, A Serious Man, Barton Fink"
Barry Lyndon,3h 5min,"Adventure, Drama, History",Stanley Kubrick,"2001: A Space Odyssey, A Clockwork Orange, Barry Lyndon, Eyes Wide Shut"
Rush,2h 3min,"Action, Biography, Drama",Ron Howard,"Arrested Development, A Beautiful Mind, Apollo 13, Frost/Nixon"
Hacksaw Ridge,2h 19min,"Biography, Drama, History",Mel Gibson,"Braveheart, Lethal Weapon 3, Conspiracy Theory, Ransom"
To Be or Not to Be,1h 39min,"Comedy, Romance, War",Ernst Lubitsch,"To Be or Not to Be, The Shop Around the Corner, Ninotchka, The Patriot"
Mr. Smith Goes to Washington,2h 9min,"Comedy, Drama",Frank Capra,"It's a Wonderful Life, It Happened One Night, Mr. Smith Goes to Washington, Mr. Deeds Goes to Town"
Catch Me If You Can,2h 21min,"Biography, Crime, Drama",Steven Spielberg,"Schindler's List, E.T. the Extra-Terrestrial, Saving Private Ryan, Indiana Jones and the Raiders of the Lost Ark"
Prisoners,2h 33min,"Crime, Drama, Mystery",Denis Villeneuve,"Blade Runner 2049, Arrival, Incendies, Sicario"
In the Name of the Father,2h 13min,"Biography, Crime, Drama",Jim Sheridan,"In America, In the Name of the Father, My Left Foot, Brothers"
Before Sunrise,1h 41min,"Drama, Romance",Richard Linklater,"Waking Life, Before Midnight, Boyhood, A Scanner Darkly"
Mary and Max,1h 32min,"Animation, Comedy, Drama",Adam Elliot,"Mary and Max, Harvie Krumpet, Brother, Cousin"
The Grand Budapest Hotel,1h 39min,"Adventure, Comedy, Crime",Wes Anderson,"Fantastic Mr. Fox, The Royal Tenenbaums, Isle of Dogs, Rushmore"
Room,1h 58min,"Drama, Thriller",Lenny Abrahamson,"Room, Frank, Adam & Paul, Garage"
The General,1h 7min,"Action, Adventure, Comedy",Clyde Bruckman,"The General, Sherlock Jr., Feet First, Our Hospitality"
Wild Tales,2h 2min,"Comedy, Drama, Thriller",Damián Szifron,"Wild Tales, Pretenders, On Probation, The Bottom of the Sea"
The Deer Hunter,3h 3min,"Drama, War",Michael Cimino,"The Deer Hunter, Heaven's Gate, Silent Running, Year of the Dragon"
Stalker,2h 42min,"Drama, Sci-Fi",Andrei Tarkovsky,"Solaris, The Sacrifice, Andrei Rublev, Stalker"
Sherlock Jr.,45min,"Action, Comedy, Romance",Buster Keaton,"The General, Sherlock Jr., Steamboat Bill, Jr., Seven Chances"
Gran Torino,1h 56min,Drama,Clint Eastwood,"Million Dollar Baby, Gran Torino, Unforgiven, The Bridges of Madison County"
Tokyo Story,2h 16min,Drama,Yasujirô Ozu,"Tokyo Story, Late Spring, Early Summer, A Story of Floating Weeds"
Gone with the Wind,3h 58min,"Drama, History, Romance",Victor Fleming,"Gone with the Wind, The Wizard of Oz, Test Pilot, A Guy Named Joe"
On the Waterfront,1h 48min,"Crime, Drama, Thriller",Elia Kazan,"On the Waterfront, East of Eden, A Streetcar Named Desire, America America"
Finding Nemo,1h 40min,"Animation, Adventure, Comedy",Andrew Stanton,"WALL·E, Finding Nemo, Finding Dory, Toy Story 2"
Fargo,1h 38min,"Crime, Drama, Thriller",Joel Coen,"The Ballad of Buster Scruggs, Fargo, A Serious Man, Barton Fink"
Warrior,2h 20min,"Action, Drama, Sport",Gavin O'Connor,"The Accountant, Pride and Glory, Warrior, Tumbleweeds"
The Truman Show,1h 43min,"Comedy, Drama",Peter Weir,"Master and Commander: The Far Side of the World, The Way Back, Witness, Dead Poets Society"
Kill Bill: Vol. 1,1h 51min,"Action, Crime, Drama",Quentin Tarantino,"Reservoir Dogs, Pulp Fiction, From Dusk Till Dawn, Death Proof"
Memories of Murder,2h 12min,"Crime, Drama, Mystery",Bong Joon Ho,"Snowpiercer, Parasite, Okja, The Host"
My Father and My Son,1h 52min,"Drama, Family",Cagan Irmak,"My Father and My Son, Alone, The Messenger, Dedemin Insanlari"
Wild Strawberries,1h 31min,"Drama, Romance",Ingmar Bergman,"Persona, Wild Strawberries, The Seventh Seal, Cries & Whispers"
Trainspotting,1h 33min,Drama,Danny Boyle,"127 Hours, 28 Days Later..., Slumdog Millionaire, Shallow Grave"
The Bridge on the River Kwai,2h 41min,"Adventure, Drama, War",David Lean,"Lawrence of Arabia, The Bridge on the River Kwai, Doctor Zhivago, A Passage to India"
The Third Man,1h 33min,"Film-Noir, Mystery, Thriller",Carol Reed,"The Third Man, Oliver!, The Fallen Idol, Odd Man Out"
Blade Runner,1h 57min,"Action, Sci-Fi, Thriller",Ridley Scott,"The Martian, Blade Runner, Thelma & Louise, Gladiator"
V for Vendetta,2h 12min,"Action, Drama, Sci-Fi",James McTeigue,"V for Vendetta, The Raven, Ninja Assassin, The Matrix"
Klaus,1h 36min,"Animation, Adventure, Comedy",Sergio Pablos,"Klaus, Despicable Me, Rio, Treasure Planet"
The Sixth Sense,1h 47min,"Drama, Mystery, Thriller",M. Night Shyamalan,"Lady in the Water, Signs, The Village, The Sixth Sense"
Inside Out,1h 35min,"Animation, Adventure, Comedy",Pete Docter,"Up, Inside Out, Soul, Monsters, Inc."
The Elephant Man,2h 4min,"Biography, Drama",David Lynch,"Twin Peaks, Twin Peaks: Fire Walk with Me, Mulholland Dr., Inland Empire"
Dial M for Murder,1h 45min,"Crime, Thriller",Alfred Hitchcock,"Psycho, Vertigo, North by Northwest, Rope"
No Country for Old Men,2h 2min,"Crime, Drama, Thriller",Ethan Coen,"The Ballad of Buster Scruggs, A Serious Man, Inside Llewyn Davis, Fargo"
"Three Billboards Outside Ebbing, Missouri",1h 55min,"Comedy, Crime, Drama",Martin McDonagh,"In Bruges, Three Billboards Outside Ebbing, Missouri, Seven Psychopaths, Six Shooter"
The Seventh Seal,1h 36min,"Drama, Fantasy, History",Ingmar Bergman,"Persona, Wild Strawberries, The Seventh Seal, Cries & Whispers"
